program_id,program_name,institution,source_type,source_url,primary_field,secondary_fields,interests,goals,budget,format,location_preference,city,state_or_country,region,selectivity,duration,duration_weeks,season,grade_min,grade_max,support_type,tuition_usd,financial_aid,residential_option,description,keywords,academic_strength_target,recommended_gpa_range,coursework_background_expected,prior_experience_expected,academic_rigor_level,prerequisite_notes
SYN-0713,Sagebrook Academy Elite Leadership Forum in Aerospace Engineering,Sagebrook Academy,synthetic_generated,,aerospace engineering,physics;mechanical engineering,aerospace engineering;physics;mechanical engineering;mathematics,hands-on projects;skill development;career exploration,must be free,in-person only,international,Toronto,Canada,International,balanced,1 to 2 weeks,1,summer,9,12,project guidance,0,no,yes,"A 1 to 2 weeks pre-college experience focused on aerospace engineering, blending hands-on projects with skill development.",aerospace engineering;physics;mechanical engineering;hands-on projects;skill development,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0444,Cobalt Ridge University Discovery Workshop Series in Nursing,Cobalt Ridge University,synthetic_generated,,nursing,medicine;public health,nursing;medicine;public health;biology,leadership development;career exploration;hands-on projects,moderate cost is okay,in-person only,international,Toronto,Canada,International,balanced,4 to 8 weeks,6,summer,9,12,application guidance,4500,no,yes,"A 4 to 8 weeks pre-college experience focused on nursing, blending leadership development with career exploration.",nursing;medicine;public health;leadership development;career exploration,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0832,Pacific Crest College Prep Discovery College Prep Seminar in International Relations,Pacific Crest College Prep,synthetic_generated,,international relations,political science;law,international relations;political science;law,career exploration;leadership development;social impact,low cost only,either,international,Oxford,England,International,open enrollment,4 to 8 weeks,8,summer,10,12,small class size,2200,need-based aid,optional,"A 4 to 8 weeks pre-college experience focused on international relations, blending career exploration with leadership development.",international relations;political science;law;career exploration;leadership development,accessible,No formal minimum / 2.5+ preferred,Introductory coursework or demonstrated interest helpful,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0859,Bridgewater Youth Academy Advanced Scholars Program in Architecture,Bridgewater Youth Academy,synthetic_generated,,architecture,civil engineering;design,architecture;civil engineering;design,portfolio building;academic challenge;career exploration,moderate cost is okay,in-person only,East Coast,New York,New York,East Coast,balanced,1 to 2 weeks,2,summer,9,12,small class size,2800,no,yes,"Designed for motivated teens, this program combines architecture content with portfolio building and academic challenge.",architecture;civil engineering;design;portfolio building;academic challenge,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
REAL-0034,NYC Residential Summer,Columbia University Pre-College,real_sourced,https://precollege.sps.columbia.edu/programs/summer-programs/nyc-residential-summer,interdisciplinary,education;research;leadership,interdisciplinary;education;research;leadership,college preparation;major exploration;meeting like-minded students,not a major concern,in-person only,East Coast,New York,New York,East Coast,very competitive,2 to 4 weeks,3,summer,10,12,peer community,11500,limited,yes,Three-week residential Columbia pre-college experience on the Morningside campus.,interdisciplinary;education;research;leadership;college preparation;major exploration,exceptional,3.8+,Foundational coursework helpful but not required,Demonstrated sustained interest and prior exposure preferred,high,No strict prerequisite; demonstrated interest improves fit
SYN-0420,Compass Youth University Discovery Workshop Series in Graphic Design,Compass Youth University,synthetic_generated,,graphic design,design;marketing,graphic design;design;marketing,hands-on projects;career exploration;skill development,low cost only,hybrid,South,Miami,Florida,South,very competitive,4 to 8 weeks,8,summer,9,12,student mentorship,1200,need-based aid,optional,"A 4 to 8 weeks pre-college experience focused on graphic design, blending hands-on projects with career exploration.",graphic design;design;marketing;hands-on projects;career exploration,exceptional,3.8+,Foundational coursework or portfolio-building experience helpful,"Strong prior experience, portfolio, or sustained work preferred",high,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0022,Pacific Crest College Prep Applied Workshop Series in Law,Pacific Crest College Prep,synthetic_generated,,law,political science;history,law;political science;history;international relations,academic challenge;leadership development;resume building,cost matters but flexible,hybrid,East Coast,Providence,Rhode Island,East Coast,balanced,2 to 4 weeks,3,summer,10,12,small class size,7200,yes,optional,"A 2 to 4 weeks pre-college experience focused on law, blending academic challenge with leadership development.",law;political science;history;academic challenge;leadership development,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0687,Mosaic Futures Academy Discovery Workshop Series in Law,Mosaic Futures Academy,synthetic_generated,,law,political science;history,law;political science;history;international relations,leadership development;academic challenge;resume building,not a major concern,mostly online,international,Toronto,Canada,International,competitive,1 to 2 weeks,1,summer,10,12,student mentorship,11800,yes,optional,This summer program helps high school students explore law through leadership development and academic challenge.,law;political science;history;leadership development;academic challenge,strong,3.5-3.79,Introductory coursework or demonstrated interest helpful,Some prior exposure helpful,moderately high,No strict prerequisite; demonstrated interest improves fit
SYN-0291,Helix Summer Scholars Foundations Explorers Program in History,Helix Summer Scholars,synthetic_generated,,history,political science;philosophy,history;political science;philosophy;international relations,college preparation;leadership development;academic challenge,not a major concern,mostly online,East Coast,Raleigh,North Carolina,East Coast,open enrollment,2 to 4 weeks,4,summer,9,12,faculty mentorship,13500,no,optional,"A 2 to 4 weeks pre-college experience focused on history, blending college preparation with leadership development.",history;political science;philosophy;college preparation;leadership development,accessible,No formal minimum / 2.5+ preferred,Introductory coursework or demonstrated interest helpful,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0460,Coastal Edge Institute Open Door Bootcamp in Pharmacy,Coastal Edge Institute,synthetic_generated,,pharmacy,chemistry;biochemistry,pharmacy;chemistry;biochemistry,college preparation;research experience;career exploration,low cost only,hybrid,international,Toronto,Canada,International,balanced,2 to 4 weeks,4,summer,10,12,student mentorship,1500,no,optional,"Designed for motivated teens, this program combines pharmacy content with college preparation and research experience.",pharmacy;chemistry;biochemistry;college preparation;research experience,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Biology/chemistry exposure helpful; healthcare interest expected
